Variable,Relative Influence
n_tag_func,36.68710858835403
n_tags,23.803738675588637
n_pkg,14.410141348121769
n_tag_pkg,13.794646342026356
n_func,8.573308798976452
k3_class_n_words,2.7310562469327677
