Neighbors,Misclassification Rate,CV Fold
1,0.6788968680224489,1
1,0.6719872065656871,2
1,0.6778408062277472,3
1,0.6817934946593447,4
1,0.6796210246816727,5
1,0.6773278619274636,6
1,0.6755476434735381,7
1,0.6798925834288818,8
1,0.6777804598394785,9
1,0.673163961136926,10
2,0.67590972180315,1
2,0.6734355198841349,2
2,0.6747329672319111,3
2,0.6828193832599119,4
2,0.680194315370225,5
2,0.6795606782934042,6
2,0.6753062579204634,7
2,0.6766942248506427,8
2,0.6807676060587774,9
2,0.6736165590489409,10
3,0.6652887574678655,1
3,0.665228411079597,2
3,0.6654094502444029,3
3,0.6700862953352242,4
3,0.6691207531229255,5
3,0.6652887574678655,6
3,0.6640818297024923,7
3,0.6651982378854626,8
3,0.6656508357974775,9
3,0.6649870255265222,10
4,0.6626335163840444,1
4,0.6575342465753424,2
4,0.6572325146339992,3
4,0.6649870255265222,4
4,0.6602498340474323,5
4,0.6605213927946412,6
4,0.6582885764287008,7
4,0.6556031621507452,8
4,0.6589222135055217,9
4,0.6555729889566109,10
5,0.6586506547583126,1
5,0.655210910626999,2
5,0.6553316034035364,3
5,0.6585903083700441,4
5,0.6581980568462977,5
5,0.6557540281214169,6
5,0.6520728984370285,7
5,0.6529780942610585,8
5,0.6556333353448796,9
5,0.6520728984370285,10
6,0.6529177478727899,1
6,0.6504133727596404,2
6,0.6523444571842375,3
6,0.6535513849496108,4
6,0.6527065355138495,5
6,0.6526763623197152,6
6,0.6509866634481927,7
6,0.6479089976464909,8
6,0.6524349767666405,9
6,0.6493874841590731,10
7,0.6501719872065657,1
7,0.6485426347233119,2
7,0.6479995172288939,3
7,0.645736527668819,4
7,0.6470038018224609,5
7,0.646732243075252,6
7,0.6453442761450727,7
7,0.6427493814495202,8
7,0.6460684328042967,9
7,0.6463701647456399,10
8,0.6457968740570876,1
8,0.6443485607386398,2
8,0.6443787339327741,3
8,0.6439864824090278,4
8,0.6450123710095951,5
8,0.6421459175668336,6
8,0.6429304206143263,7
8,0.6391889445416692,8
8,0.6406070846659828,9
8,0.6435942308852816,10
9,0.646008086416028,1
9,0.6425079958964456,2
9,0.6399131012008932,3
9,0.6412105485486694,4
9,0.6416028000724157,5
9,0.6416631464606843,6
9,0.6411200289662664,7
9,0.6358698931868927,8
9,0.641995051596162,9
9,0.6431718061674009,10
10,0.6400639671715648,1
10,0.6389777321827288,2
10,0.6386760002413856,3
10,0.6392794641240722,4
10,0.6381630559411019,5
10,0.6387061734355199,6
10,0.6382837487176393,7
10,0.6333655180737433,8
10,0.6399734475891619,9
10,0.6384949610765795,10
