topic,word,n,tf,idf,tf_idf
2,callgoalcounttotal,77,1.1627873613772476e-5,1.0986122886681098,1.2774524843170104e-5
2,conversionperc,77,1.1627873613772476e-5,1.0986122886681098,1.2774524843170104e-5
2,goalcounttotal,77,1.1627873613772476e-5,1.0986122886681098,1.2774524843170104e-5
2,landcounttotal,77,1.1627873613772476e-5,1.0986122886681098,1.2774524843170104e-5
2,newlandcounttotal,77,1.1627873613772476e-5,1.0986122886681098,1.2774524843170104e-5
2,onlinegoalcounttotal,77,1.1627873613772476e-5,1.0986122886681098,1.2774524843170104e-5
2,pagecounttotal,77,1.1627873613772476e-5,1.0986122886681098,1.2774524843170104e-5
2,returnlandcounttotal,77,1.1627873613772476e-5,1.0986122886681098,1.2774524843170104e-5
2,spidercounttotal,77,1.1627873613772476e-5,1.0986122886681098,1.2774524843170104e-5
2,tkgrid,77,1.1627873613772476e-5,1.0986122886681098,1.2774524843170104e-5
3,ogretmenemayistamujdehazirandaatama,77,1.4125019261389902e-5,1.0986122886681098,1.5517919738236693e-5
3,onfield,77,1.4125019261389902e-5,1.0986122886681098,1.5517919738236693e-5
3,pogba,77,1.4125019261389902e-5,1.0986122886681098,1.5517919738236693e-5
1,mudstone,76,1.0557988292024509e-5,1.0986122886681098,1.1599135681232153e-5
3,rawpressure,76,1.3941577452800423e-5,1.0986122886681098,1.531638831306479e-5
3,ronaldo,76,1.3941577452800423e-5,1.0986122886681098,1.531638831306479e-5
3,trsp,75,1.3758135644210944e-5,1.0986122886681098,1.5114856887892884e-5
3,suarez,74,1.3574693835621463e-5,1.0986122886681098,1.4913325462720977e-5
3,hiit,73,1.3391252027031985e-5,1.0986122886681098,1.4711794037549073e-5
1,glbrad,71,9.86338379912816e-6,1.0986122886681098,1.0836034649572143e-5
1,adelophryne,70,9.72446290054889e-6,1.0986122886681098,1.068341444324014e-5
1,slx,70,9.72446290054889e-6,1.0986122886681098,1.068341444324014e-5
3,byselection,70,1.2840926601263548e-5,1.0986122886681098,1.4107199762033359e-5
3,kand,70,1.2840926601263548e-5,1.0986122886681098,1.4107199762033359e-5
1,dw.p,69,9.58554200196962e-6,1.0986122886681098,1.053079423690814e-5
1,pass.theo,69,9.58554200196962e-6,1.0986122886681098,1.053079423690814e-5
1,up.p,69,9.58554200196962e-6,1.0986122886681098,1.053079423690814e-5
3,viit,68,1.2474042984084589e-5,1.0986122886681098,1.3704136911689547e-5
1,nxo,67,9.30770020481108e-6,1.0986122886681098,1.0225553824244135e-5
1,cag,66,9.168779306231811e-6,1.0986122886681098,1.0072933617912134e-5
1,klm,66,9.168779306231811e-6,1.0986122886681098,1.0072933617912134e-5
1,pda,66,9.168779306231811e-6,1.0986122886681098,1.0072933617912134e-5
1,sandstone,66,9.168779306231811e-6,1.0986122886681098,1.0072933617912134e-5
3,c.aus,66,1.210715936690563e-5,1.0986122886681098,1.3301074061345739e-5
3,sponsorship,66,1.210715936690563e-5,1.0986122886681098,1.3301074061345739e-5
3,preddat,65,1.192371755831615e-5,1.0986122886681098,1.3099542636173831e-5
1,health.d,64,8.89093750907327e-6,1.0986122886681098,9.767693205248128e-6
3,csahs,64,1.1740275749726671e-5,1.0986122886681098,1.2898011211001927e-5
1,incfi,63,8.752016610494002e-6,1.0986122886681098,9.615072998916128e-6
3,lognormsddivby,63,1.1556833941137192e-5,1.0986122886681098,1.2696479785830023e-5
3,xs:enumeration,63,1.1556833941137192e-5,1.0986122886681098,1.2696479785830023e-5
1,excalibur,62,8.613095711914731e-6,1.0986122886681098,9.462452792584124e-6
1,pipas,62,8.613095711914731e-6,1.0986122886681098,9.462452792584124e-6
1,hedgnav,61,8.474174813335462e-6,1.0986122886681098,9.309832586252124e-6
1,omxn,61,8.474174813335462e-6,1.0986122886681098,9.309832586252124e-6
1,spst,61,8.474174813335462e-6,1.0986122886681098,9.309832586252124e-6
3,amravati,61,1.1189950323958235e-5,1.0986122886681098,1.2293416935486213e-5
3,cassia,61,1.1189950323958235e-5,1.0986122886681098,1.2293416935486213e-5
3,handwashing,61,1.1189950323958235e-5,1.0986122886681098,1.2293416935486213e-5
3,simea,61,1.1189950323958235e-5,1.0986122886681098,1.2293416935486213e-5
1,dataitem,60,8.335253914756192e-6,1.0986122886681098,9.157212379920122e-6
1,tkt,60,8.335253914756192e-6,1.0986122886681098,9.157212379920122e-6
1,data.country,59,8.196333016176922e-6,1.0986122886681098,9.004592173588118e-6
1,kisauni,59,8.196333016176922e-6,1.0986122886681098,9.004592173588118e-6
1,likoni,59,8.196333016176922e-6,1.0986122886681098,9.004592173588118e-6
3,southfox,59,1.0823066706779275e-5,1.0986122886681098,1.1890354085142401e-5
