Variable,Relative Influence
n_tag_func,25.759816022340686
n_tag_pkg,24.87968029793501
n_tags,23.838733822277945
n_pkg,12.739156804977432
n_func,10.485635178788357
k4_class_n_words,2.2969778736805706
